Fib,Time
0,6.300000222836388e-06
1,5.000001692678779e-07
2,3.999998625658918e-07
3,8.000001798791345e-07
4,2.2999997781880666e-06
5,1.2000000424450263e-06
6,1.7000002117129043e-06
7,2.8999997994105797e-06
8,4.800000169780105e-06
9,7.199999799922807e-06
10,1.13999999484804e-05
11,1.8599999748403206e-05
12,2.8199999633216066e-05
13,4.540000009001233e-05
14,7.539999978689593e-05
15,0.00012100000003556488
16,0.00022089999993113452
17,0.0003171000003021618
18,0.0005780999999842606
19,0.0008575000001656008
20,0.0014071999999032414
21,0.0022097999999459716
22,0.0034812000003512367
23,0.005866400000286376
24,0.009731200000260287
25,0.015515099999902304
26,0.024865700000191282
27,0.03914119999990362
28,0.061647999999877356
29,0.09996300000011615
30,0.1667155999998613
31,0.28254000000015367
32,0.52118930000006
33,0.711837999999716
34,1.1006090000000768
35,1.7450833000002604
36,2.8267320999998446
37,4.636659799999961
38,7.507554599999821
39,11.984311100000014
40,19.413746500000343
